TimeFrom,TimeTo,HeatDemand,ElectricityPrice
7/10/2023 18:00,10/7/23 19:00,1.55,914.78
7/10/2023 19:00,10/7/23 20:00,1.53,1241.18
7/10/2023 20:00,10/7/23 21:00,1.5,1319.18
7/10/2023 21:00,10/7/23 22:00,1.49,1350.53
7/10/2023 22:00,10/7/23 23:00,1.47,1221.90
7/10/2023 23:00,11/7/23 0:00,1.57,1002.75
7/11/2023 00:00,11/7/23 1:00,1.53,933.08
7/11/2023 01:00,11/7/23 2:00,1.54,868.05
7/11/2023 02:00,11/7/23 3:00,1.42,789.68
7/11/2023 03:00,11/7/23 4:00,1.46,755.10
7/11/2023 04:00,11/7/23 5:00,1.48,747.75
7/11/2023 05:00,11/7/23 6:00,1.56,845.55
7/11/2023 06:00,11/7/23 7:00,1.6,926.63
7/11/2023 07:00,11/7/23 8:00,1.68,940.43
7/11/2023 08:00,11/7/23 9:00,1.8,907.13
7/11/2023 09:00,11/7/23 10:00,1.78,788.25
7/11/2023 10:00,11/7/23 11:00,1.83,686.78
7/11/2023 11:00,11/7/23 12:00,1.92,489.38
7/11/2023 12:00,11/7/23 13:00,1.93,422.85
7/11/2023 13:00,11/7/23 14:00,1.91,347.93
7/11/2023 14:00,11/7/23 15:00,1.72,355.43
7/11/2023 15:00,11/7/23 16:00,1.64,434.10
7/11/2023 16:00,11/7/23 17:00,1.59,510.00
7/11/2023 17:00,11/7/23 18:00,1.53,698.40
7/11/2023 18:00,11/7/23 19:00,1.61,855.00
7/11/2023 19:00,11/7/23 20:00,1.69,1061.63
7/11/2023 20:00,11/7/23 21:00,1.65,1200.15
7/11/2023 21:00,11/7/23 22:00,1.62,1005.68
7/11/2023 22:00,11/7/23 23:00,1.56,892.50
7/11/2023 23:00,12/7/23 0:00,1.62,772.73
7/12/2023 00:00,12/7/23 1:00,1.7,738.53
7/12/2023 01:00,12/7/23 2:00,1.66,682.50
7/12/2023 02:00,12/7/23 3:00,1.62,675.00
7/12/2023 03:00,12/7/23 4:00,1.55,615.68
7/12/2023 04:00,12/7/23 5:00,1.58,580.50
7/12/2023 05:00,12/7/23 6:00,1.61,570.00
7/12/2023 06:00,12/7/23 7:00,1.66,661.65
7/12/2023 07:00,12/7/23 8:00,1.75,865.50
7/12/2023 08:00,12/7/23 9:00,1.78,900.00
7/12/2023 09:00,12/7/23 10:00,1.76,767.48
7/12/2023 10:00,12/7/23 11:00,1.76,622.50
7/12/2023 11:00,12/7/23 12:00,1.94,380.78
7/12/2023 12:00,12/7/23 13:00,1.86,119.03
7/12/2023 13:00,12/7/23 14:00,1.79,96.90
7/12/2023 14:00,12/7/23 15:00,1.62,144.98
7/12/2023 15:00,12/7/23 16:00,1.55,202.73
7/12/2023 16:00,12/7/23 17:00,1.55,221.18
7/12/2023 17:00,12/7/23 18:00,1.53,328.65
7/12/2023 18:00,12/7/23 19:00,1.56,375.45
7/12/2023 19:00,12/7/23 20:00,1.59,601.95
7/12/2023 20:00,12/7/23 21:00,1.61,1043.25
7/12/2023 21:00,12/7/23 22:00,1.61,939.00
7/12/2023 22:00,12/7/23 23:00,1.67,945.08
7/12/2023 23:00,7/13/2023 0:00,1.66,854.33
7/13/2023 0:00,7/13/2023 1:00,1.67,786.90
7/13/2023 1:00,7/13/2023 2:00,1.65,642.45
7/13/2023 2:00,7/13/2023 3:00,1.6,592.50
7/13/2023 3:00,7/13/2023 4:00,1.55,563.18
7/13/2023 4:00,7/13/2023 5:00,1.6,570.00
7/13/2023 5:00,7/13/2023 6:00,1.68,663.83
7/13/2023 6:00,7/13/2023 7:00,1.71,766.73
7/13/2023 7:00,7/13/2023 8:00,1.78,828.53
7/13/2023 8:00,7/13/2023 9:00,2.04,893.25
7/13/2023 9:00,7/13/2023 10:00,2.02,652.20
7/13/2023 10:00,7/13/2023 11:00,1.8,365.78
7/13/2023 11:00,7/13/2023 12:00,1.73,356.93
7/13/2023 12:00,7/13/2023 13:00,1.72,370.43
7/13/2023 13:00,7/13/2023 14:00,1.62,348.75
7/13/2023 14:00,7/13/2023 15:00,1.62,348.75
7/13/2023 15:00,7/13/2023 16:00,1.67,350.63
7/13/2023 16:00,7/13/2023 17:00,1.61,338.03
7/13/2023 17:00,7/13/2023 18:00,1.65,351.98
7/13/2023 18:00,7/13/2023 19:00,1.65,417.68
7/13/2023 19:00,7/13/2023 20:00,1.67,867.23
7/13/2023 20:00,7/13/2023 21:00,1.68,981.45
7/13/2023 21:00,7/13/2023 22:00,1.62,1034.18
7/13/2023 22:00,7/13/2023 23:00,1.61,972.53
7/13/2023 23:00,7/14/2023 0:00,1.7,882.90
7/14/2023 0:00,7/14/2023 1:00,1.71,757.50
7/14/2023 1:00,7/14/2023 2:00,1.75,722.70
7/14/2023 2:00,7/14/2023 3:00,1.66,634.13
7/14/2023 3:00,7/14/2023 4:00,1.64,626.85
7/14/2023 4:00,7/14/2023 5:00,1.7,700.13
7/14/2023 5:00,7/14/2023 6:00,1.78,745.13
7/14/2023 6:00,7/14/2023 7:00,1.8,855.00
7/14/2023 7:00,7/14/2023 8:00,1.78,855.00
7/14/2023 8:00,7/14/2023 9:00,1.82,778.20
7/14/2023 9:00,7/14/2023 10:00,1.9,638.03
7/14/2023 10:00,7/14/2023 11:00,1.86,597.83
7/14/2023 11:00,7/14/2023 12:00,1.88,572.93
7/14/2023 12:00,7/14/2023 13:00,1.83,553.50
7/14/2023 13:00,7/14/2023 14:00,1.76,523.88
7/14/2023 14:00,7/14/2023 15:00,1.63,563.48
7/14/2023 15:00,7/14/2023 16:00,1.57,582.75
7/14/2023 16:00,7/14/2023 17:00,1.55,581.63
7/14/2023 17:00,7/14/2023 18:00,1.54,730.95
7/14/2023 18:00,7/14/2023 19:00,1.56,864.38
7/14/2023 19:00,7/14/2023 20:00,1.56,1051.43
7/14/2023 20:00,7/14/2023 21:00,1.59,1049.40
7/14/2023 21:00,7/14/2023 22:00,1.57,929.40
7/14/2023 22:00,7/14/2023 23:00,1.55,714.38
7/14/2023 23:00,7/15/2023 0:00,1.62,607.05
