TimeFrom,TimeTo,ProductionUnitName,ProducedHeat,NetElectricity,ProductionCosts,ProducedCO2,PrimaryEnergyConsumption,OperationPercentage
05/15/2024 15:00:00,05/15/2024 16:00:00,EK,6.9994198377241466,-6.9994198377241466,43.74637398577592,0,0,0.8749274797155183
05/15/2024 16:00:00,05/15/2024 17:00:00,EK,5.262841426424143,-5.262841426424143,32.89275891515089,0,0,0.6578551783030179
05/15/2024 17:00:00,05/15/2024 18:00:00,GB,5,0,500,215,1.1,1
05/15/2024 17:00:00,05/15/2024 18:00:00,GM,3.6,2.7,1100,640,1.9,1
05/15/2024 17:00:00,05/15/2024 18:00:00,OB,0.74018658909024,0,129.532653090792,48.48222158541072,0.222055976727072,0.18504664727256
05/15/2024 18:00:00,05/15/2024 19:00:00,GB,5,0,500,215,1.1,1
05/15/2024 18:00:00,05/15/2024 19:00:00,GM,1.8762028249335478,1.407152118700161,573.284196507473,333.5471688770752,0.9902181576038169,0.52116745137043
05/15/2024 19:00:00,05/15/2024 20:00:00,GM,3.6,2.7,1100,640,1.9,1
05/15/2024 19:00:00,05/15/2024 20:00:00,GB,1.868154342597422,0,186.8154342597422,80.33063673168915,0.41099395537143285,0.3736308685194844
05/15/2024 20:00:00,05/15/2024 21:00:00,GM,0.8110994989104101,0.6083246241828076,247.83595800040308,144.1954664729618,0.42808029109160534,0.2253054163640028
05/15/2024 21:00:00,05/15/2024 22:00:00,GM,1.8712457417842212,1.403434306338166,571.7695322118453,332.6659096505282,0.9876019192750055,0.5197904838289503
05/15/2024 22:00:00,05/15/2024 23:00:00,GM,3.6,2.7,1100,640,1.9,1
05/15/2024 22:00:00,05/15/2024 23:00:00,GB,0.933271852197718,0,93.3271852197718,40.13068964450188,0.20531980748349798,0.1866543704395436
05/15/2024 23:00:00,05/16/2024 00:00:00,GM,2.971718657282981,2.2287889929622358,908.0251452809108,528.3055390725299,1.568407069121573,0.825477404800828
05/16/2024 00:00:00,05/16/2024 01:00:00,GB,5,0,500,215,1.1,1
05/16/2024 00:00:00,05/16/2024 01:00:00,GM,3.6,2.7,1100,640,1.9,1
05/16/2024 00:00:00,05/16/2024 01:00:00,OB,1.285437791182397,0,224.9516134569195,84.196175322447,0.3856313373547191,0.3213594477955993
05/16/2024 01:00:00,05/16/2024 02:00:00,GB,5,0,500,215,1.1,1
05/16/2024 01:00:00,05/16/2024 02:00:00,OB,1.426974728902325,0,249.72057755790686,93.46684474310229,0.42809241867069747,0.3567436822255812
05/16/2024 02:00:00,05/16/2024 03:00:00,GB,5,0,500,215,1.1,1
05/16/2024 02:00:00,05/16/2024 03:00:00,OB,2.629635882391424,0,460.18627941849917,172.24115029663827,0.7888907647174271,0.657408970597856
05/16/2024 03:00:00,05/16/2024 04:00:00,GB,0.3039429291635486,0,30.39429291635486,13.06954595403259,0.06686744441598069,0.06078858583270972
05/16/2024 04:00:00,05/16/2024 05:00:00,GB,3.8100450689951164,0,381.0045068995116,163.83193796679,0.8382099151789257,0.7620090137990233
05/16/2024 05:00:00,05/16/2024 06:00:00,GB,3.4314184465591877,0,343.1418446559188,147.55099320204508,0.7549120582430214,0.6862836893118376
05/16/2024 06:00:00,05/16/2024 07:00:00,GB,5,0,500,215,1.1,1
05/16/2024 06:00:00,05/16/2024 07:00:00,GM,3.6,2.7,1100,640,1.9,1
05/16/2024 06:00:00,05/16/2024 07:00:00,OB,0.974551656644116,0,170.5465399127203,63.8331335101896,0.2923654969932348,0.243637914161029
05/16/2024 07:00:00,05/16/2024 08:00:00,GM,3.6,2.7,1100,640,1.9,1
05/16/2024 07:00:00,05/16/2024 08:00:00,GB,1.45129212748785,0,145.12921274878502,62.40556148197756,0.31928426804732707,0.29025842549757
05/16/2024 08:00:00,05/16/2024 09:00:00,GM,3.6,2.7,1100,640,1.9,1
05/16/2024 08:00:00,05/16/2024 09:00:00,GB,3.55972512362512,0,355.972512362512,153.06818031588017,0.7831395271975266,0.7119450247250241
05/16/2024 09:00:00,05/16/2024 10:00:00,GB,1.189577291342233,0,118.95772913422329,51.15182352771601,0.26170700409529124,0.23791545826844657
